supplier_id,company_name,country,city,price_usd_per_liter,min_order_liters,lead_time_days,certification,rating,email,phone,website,flavors_available,notes
Y013,Golden Delights,New Zealand,Wellington,4.16,2000,10,Non-GMO,4.16,sales@golden.delightsne.co,+64-0210-6727,https://www.goldendelights.biz,Assorted fruit flavors,custom packaging
Y014,Mountain Agro,India,Ahmedabad,2.05,2000,10,None,4.99,sales@mountain.agroin.org,+91-0563-1442,https://www.mountainagro.co,Plain only,bulk discount available
Y015,Organic Dairy Ltd,Brazil,Brasília,1.17,2000,7,Organic,4.3,sales@organic.dairy.ltdbr.co,+55-7734-8117,https://www.organicdairyltd.org,"Honey, Greek, Mixed Berry",custom packaging
Y016,Ever Foods,Turkey,Ankara,2.01,100,20,None,4.96,sales@ever.foodstu.biz,+90-6852-7233,https://www.everfoods.com,"Vanilla, Mango",custom packaging
Y017,Creamy Producers,USA,Madison,1.85,250,30,Non-GMO,3.25,sales@creamy.producersus.biz,+1-4241-4538,https://www.creamyproducers.co,"Vanilla, Mango",local distributor only
Y018,Pure Producers,India,Ahmedabad,1.97,2000,7,BRC,3.42,sales@pure.producersin.biz,+91-1704-2712,https://www.pureproducers.co,Assorted fruit flavors,seasonal milk variations
Y019,Fresh Delights,Canada,Vancouver,1.91,100,20,Non-GMO,4.78,sales@fresh.delightsca.com,+1-9513-6262,https://www.freshdelights.net,"Plain, Strawberry, Blueberry",custom packaging
Y020,Creamy Agro Ltd,USA,Madison,2.82,1000,5,Organic,4.92,sales@creamy.agro.ltdus.com,+1-2171-2057,https://www.creamyagroltd.net,"Vanilla, Mango",custom packaging
Y021,River Agro,Greece,Athens,1.59,1000,10,BRC,3.43,sales@river.agrogr.net,+30-0081-1343,https://www.riveragro.com,Assorted fruit flavors,seasonal milk variations
Y022,Golden Producers,Canada,Vancouver,1.41,100,20,Non-GMO,3.88,sales@golden.producersca.co,+1-5505-8041,https://www.goldenproducers.net,Assorted fruit flavors,export-ready
Y023,Farmhouse Foods,New Zealand,Wellington,2.45,250,7,Fairtrade,3.67,sales@farmhouse.foodsne.co,+64-6748-8260,https://www.farmhousefoods.com,"Vanilla, Mango",custom packaging
Y024,Mountain Creamery,France,Lyon,2.43,500,5,None,4.32,sales@mountain.creameryfr.com,+33-5045-2461,https://www.mountaincreamery.org,Assorted fruit flavors,bulk discount available
Y025,Ever Foods Ltd,Germany,Berlin,2.52,500,14,None,4.9,sales@ever.foods.ltdge.net,+49-0119-1765,https://www.everfoodsltd.net,"Vanilla, Mango",local distributor only
Y026,Fresh Producers,India,Pune,2.98,250,5,None,3.42,sales@fresh.producersin.net,+91-8462-6410,https://www.freshproducers.org,Plain only,export-ready
Y027,Organic Dairy,Canada,Montreal,2.1,500,5,Organic,3.32,sales@organic.dairyca.net,+1-4436-3706,https://www.organicdairy.net,"Vanilla, Mango",bulk discount available
Y028,Ever Yogurt Co,France,Paris,1.31,2000,30,ISO9001,4.87,sales@ever.yogurt.cofr.biz,+33-8513-1708,https://www.everyogurtco.com,"Vanilla, Mango",bulk discount available
Y029,Happy Nutrition,France,Toulouse,2.52,1000,20,Organic,3.47,sales@happy.nutritionfr.biz,+33-5266-1103,https://www.happynutrition.net,Assorted fruit flavors,export-ready
Y030,Mountain Nutrition Ltd,Turkey,Izmir,2.21,2000,30,Non-GMO,3.38,sales@mountain.nutrition.ltdtu.org,+90-1099-2899,https://www.mountainnutritionltd.net,Assorted fruit flavors,local distributor only
